1901	Sully Prudhomme	French
1902	Theodor Mommsen	German
1903	Bjørnstjerne Bjørnson	Norwegian
1904	Frédéric Mistral	Occitan
1904	José Echegaray	Spanish
1905	Henryk Sienkiewicz	Polish
1906	Giosuè Carducci	Italian
1907	Rudyard Kipling	English
1908	Rudolf Christoph Eucken	German
1909	Selma Lagerlöf	Swedish
1910	Paul Heyse	German
1911	Maurice Maeterlinck	French
1912	Gerhart Hauptmann	German
1913	Rabindranath Tagore	Bengali
1915	Romain Rolland	French
1916	Verner von Heidenstam	Swedish
1917	Karl Adolph Gjellerup	Danish
1917	Henrik Pontoppidan	Danish
1919	Carl Spitteler	German
1920	Knut Hamsun	Norwegian
1921	Anatole France	French
1922	Jacinto Benavente	Spanish
1923	W. B. Yeats	English
1924	Władysław Reymont	Polish
1925	George Bernard Shaw	English
1926	Grazia Deledda	Italian
1927	Henri Bergson	French
1928	Sigrid Undset	Norwegian
1929	Thomas Mann	German
1930	Sinclair Lewis	English
1931	Erik Axel Karlfeldt	Swedish
1932	John Galsworthy	English
1933	Ivan Bunin	Russian
1934	Luigi Pirandello	Italian
1936	Eugene O'Neill	English
1937	Roger Martin du Gard	French
1938	Pearl S. Buck	English
1939	Frans Eemil Sillanpää	Finnish
1944	Johannes Vilhelm Jensen	Danish
1945	Gabriela Mistral	Spanish
1946	Hermann Hesse	German
1947	André Gide	French
1948	T. S. Eliot	English
1949	William Faulkner	English
1950	Bertrand Russell	English
1951	Pär Lagerkvist	Swedish
1952	François Mauriac	French
1953	Winston Churchill	English
1954	Ernest Hemingway	English
1955	Halldór Laxness	Icelandic
1956	Juan Ramón Jiménez	Spanish
1957	Albert Camus	French
1958	Boris Pasternak	Russian
1959	Salvatore Quasimodo	Italian
1960	Saint-John Perse	French
1961	Ivo Andrić	Serbo-Croatian
1962	John Steinbeck	English
1963	Giorgos Seferis	Greek
1964	Jean-Paul Sartre	French
1965	Mikhail Sholokhov	Russian
1966	Shmuel Yosef Agnon	Hebrew
1966	Nelly Sachs	German
1967	Miguel Ángel Asturias	Spanish
1968	Yasunari Kawabata	Japanese
1969	Samuel Beckett	English
1970	Aleksandr Solzhenitsyn	Russian
1971	Pablo Neruda	Spanish
1972	Heinrich Böll	German
1973	Patrick White	English
1974	Eyvind Johnson	Swedish
1974	Harry Martinson	Swedish
1975	Eugenio Montale	Italian
1976	Saul Bellow	English
1977	Vicente Aleixandre	Spanish
1978	Isaac Bashevis Singer	Yiddish
1979	Odysseas Elytis	Greek
1980	Czesław Miłosz	Polish
1981	Elias Canetti	German
1982	Gabriel García Márquez	Spanish
1983	William Golding	English
1984	Jaroslav Seifert	Czech
1985	Claude Simon	French
1986	Wole Soyinka	English
1987	Joseph Brodsky	English
1988	Naguib Mahfouz	Arabic
1989	Camilo José Cela	Spanish
1990	Octavio Paz	Spanish
1991	Nadine Gordimer	English
1992	Derek Walcott	English
1993	Toni Morrison	English
1994	Kenzaburō Ōe	Japanese
1995	Seamus Heaney	English
1996	Wisława Szymborska	Polish
1997	Dario Fo	Italian
1998	José Saramago	Portuguese
1999	Günter Grass	German
2000	Gao Xingjian	China
2001	V. S. Naipaul	English
2002	Imre Kertész	Hungarian
2003	J. M. Coetzee	English
2004	Elfriede Jelinek	German
2005	Harold Pinter	English
2006	Orhan Pamuk	Turkish
2007	Doris Lessing	English
2008	J. M. G. Le Clézio	Mauritius
2009	Herta Müller	German
2010	Mario Vargas Llosa	Spain
2011	Tomas Tranströmer	Swedish
2012	Mo Yan	Chinese
2013	Alice Munro	English
2014	Patrick Modiano	French
